iotype,iodepth,iosize,numcpu,psync_bw,io_uring_bw,iou_poll_bw,spdk_bw,aeolia_bw,psync_iops,io_uring_iops,iou_poll_iops,spdk_iops,aeolia_iops,psync_lat_avg,io_uring_lat_avg,iou_poll_lat_avg,spdk_lat_avg,aeolia_lat_avg,psync_lat_p50,io_uring_lat_p50,iou_poll_lat_p50,spdk_lat_p50,aeolia_lat_p50,psync_lat_p99,io_uring_lat_p99,iou_poll_lat_p99,spdk_lat_p99,aeolia_lat_p99,psync_lat_p999,io_uring_lat_p999,iou_poll_lat_p999,spdk_lat_p999,aeolia_lat_p999
randread,1,4K,1,777.229,707.84,704.17,829.527,847.981,194.307384659,176.960005713,176.04273747,207.38198890299998,211.99540091999998,61.38894298,67.326953601,63.836458951,53.932246858,55.894748643,61.184,67.072,5.344,4.512,55.552,103.936,122.368,5.728,4.768,100.864,156.672,185.344,43778.048,43778.048,152.576
randread,1,4K,2,1621.726,1366.153,1190.908,1624.798,1579.053,405.431509784,341.538351664,297.72715609399995,406.199657973,394.76344731100005,29.184554957,34.667792457000004,38.157730891,27.266914732,29.837590783,28.544,34.56,6.176,4.512,29.824,54.528,65.28,7.52,5.408,55.04,70.144,84.48,20054.016,20054.016,73.216
randread,1,4K,3,1995.788,1724.144,1619.519,2375.078,2359.436,498.94700757000004,431.036137695,404.879920137,593.7696589130001,589.859228154,23.667036838,27.32675099,28.002991957,18.678303936,19.664496928000002,23.936,27.264,7.008,4.64,19.84,40.192,49.92,8.64,6.496,34.048,53.504,62.208,8028.16,11993.088,45.312
randread,1,4K,4,2325.655,1832.287,2014.175,3124.288,3196.943,581.4137980290001,458.071846879,503.543897216,781.072223808,799.2359528090001,20.277095393,25.618120083,22.633191898,14.172048966,14.15402347,20.096,25.728,7.584,4.704,14.144,33.024,45.312,9.664,6.88,26.752,41.728,53.504,8028.16,8028.16,36.608
randread,1,4K,5,2573.233,1929.128,2372.981,3854.455,3748.91,643.308384516,482.28224539400003,593.24525339,963.613769462,937.227554489,18.29504651,24.228348141999998,19.304465302,11.500355245000002,12.103219335,17.792,24.448,8.096,4.704,10.944,29.824,42.24,10.688,7.136,25.472,38.144,50.944,8028.16,4014.08,35.072
randread,1,4K,6,2888.338,2033.387,2714.481,4477.845,4338.476,722.084702185,508.346950436,678.620305583,1119.461439589,1084.6190761849998,16.257568288,22.9062857,16.941051997,9.919409847,10.613547006000001,15.68,22.912,8.512,4.896,10.56,27.264,38.144,11.712,7.584,16.768,32.64,43.776,4014.08,4014.08,24.704
randread,1,4K,7,2963.648,2240.462,3033.504,5008.807,4517.05,740.91201257,560.115554921,758.376213592,1252.201942302,1129.262747451,15.845215120999999,20.805391831,15.178817062,8.851234002,10.201768441,15.424,20.608,8.768,5.088,10.432,26.496,35.072,12.608,8.032,16.32,31.872,39.168,4014.08,14.528,22.144
randread,1,4K,8,3046.193,2439.211,3323.328,5474.117,4679.606,761.5484930719999,609.8028853019999,830.832071969,1368.529277349,1169.9016196759999,15.408094981,19.077241961,13.899571318,8.092083621,9.847080337,15.04,18.816,9.152,5.28,10.176,25.472,32.128,13.76,8.512,15.68,30.08,36.096,4014.08,13.76,21.632
randread,1,4K,9,3154.302,2544.286,3663.766,5868.962,4850.842,788.575632053,636.0715612060001,915.9417226109999,1467.2405027139998,1212.710657868,14.858695614,18.283011549999998,12.631140555,7.607085515,9.499541612000002,14.528,18.048,9.28,5.6,8.896,24.192,30.848,14.528,9.152,15.168,28.8,35.072,20.864,13.76,20.096
randread,1,4K,10,3281.666,2682.862,3941.984,6097.161,4989.447,820.416511927,670.7156120550001,985.49614506,1524.290387088,1247.36198281,14.269825231999999,17.349726447000002,11.757550214,7.341176591,9.241115265000001,14.016,17.024,9.664,5.984,8.768,22.912,29.568,15.424,9.664,14.784,27.008,33.536,21.376,14.016,19.072
randwrite,1,4K,1,778.716,701.358,696.922,821.837,836.373,194.679188687,175.339522925,174.23061630200002,205.459490246,209.09327239,61.227682588,67.96291087799999,64.60062462100001,54.017434279,56.437444081,60.672,68.096,5.472,4.576,56.576,103.936,125.44,5.984,5.408,99.84,154.624,191.488,43778.048,43778.048,160.768
randwrite,1,4K,2,1628.093,1383.959,1232.475,1605.513,1559.439,407.023282388,345.98985859199996,308.11898987,401.37831291,389.85987716,29.056654106000003,34.213520455,36.901890367,27.658605489000003,30.146664667,28.544,34.048,6.112,4.576,30.08,53.504,63.232,7.84,7.072,58.112,68.096,78.336,20054.016,20054.016,76.288
randwrite,1,4K,3,1970.521,1711.904,1683.291,2310.229,2379.4,492.63048136,427.976003428,420.822941932,577.557363014,594.850021426,23.967977333,27.486297289,27.068447064,19.288541604,19.421888362999997,24.192,27.52,6.56,4.768,19.584,40.704,50.432,9.536,8.512,35.072,51.968,63.232,11993.088,11993.088,48.896
randwrite,1,4K,4,2322.18,1824.298,2053.922,2962.266,3140.698,580.545064991,456.074560777,513.480741797,740.566718995,785.174546493,20.284023935,25.721619606,22.346215317,15.055576332000001,14.519513921,20.096,25.728,7.072,4.896,14.272,33.024,45.824,11.2,9.664,28.288,43.264,56.576,4014.08,8028.16,37.12
randwrite,1,4K,5,2477.157,1925.44,2359.015,3377.982,3557.751,619.28938723,481.360091416,589.753784633,844.495717956,889.4377946010001,18.99895991,24.282171461,19.458957491,13.197060076,12.902986164,18.56,24.448,7.968,5.28,11.712,30.848,41.728,12.992,10.816,25.728,39.168,47.872,8028.16,4014.08,34.56
randwrite,1,4K,6,2806.465,1999.61,2625.981,3695.29,3861.155,701.616340523,499.902728182,656.495429877,923.822647437,965.288815883,16.735594695,23.25908237,17.585900563,12.169647594,11.947057336,16.192,23.168,8.512,5.856,11.328,27.52,37.632,14.912,12.096,21.888,33.024,43.264,4014.08,4014.08,26.496
randwrite,1,4K,7,2885.456,2202.244,2849.802,3931.644,3914.993,721.364233681,550.561205542,712.45061376,982.911193604,978.748464505,16.254699975,21.130189957,16.200500366,11.478040861,11.808991163999998,15.808,20.864,9.28,6.496,11.2,26.752,35.072,16.512,13.248,21.888,32.128,39.168,4014.08,4014.08,26.496
randwrite,1,4K,8,3045.624,2373.991,3057.382,4097.753,3972.483,761.4060848449999,593.4977860309999,764.345522068,1024.438320959,993.1209758050001,15.394807951,19.602969309,15.142999136,11.051655946999999,11.658945171,15.04,19.328,9.792,7.136,11.2,24.96,33.024,18.048,14.528,21.376,30.336,36.608,28.288,20.864,25.984
randwrite,1,4K,9,3081.634,2479.108,3245.105,4232.773,3990.477,770.40851307,619.777174689,811.276349614,1058.193460879,997.619340094,15.206629568,18.786883607,14.314192127,10.749133781000001,11.621368318,14.912,18.56,10.432,7.776,11.072,24.448,31.616,19.584,15.552,21.632,29.568,35.584,25.216,20.608,25.984
randwrite,1,4K,10,3210.453,2581.107,3414.739,4321.872,4053.539,802.6133409509999,645.276960434,853.684947158,1080.46800914,1013.3849230149999,14.583590583,18.024787644,13.632509986999999,10.558186352,11.455365217,14.4,17.792,10.944,8.512,10.944,23.168,30.08,20.608,16.768,21.12,28.288,34.048,25.728,21.376,25.472
